node,node_i,hour,hour_of_day,capacity_cu,bandwidth_gb,grid_price_cny_kwh,grid_ci_kg_kwh,green_available_kwh,green_price_proxy_cny_kwh
安徽_芜湖,0,0,0,90.36566049570533,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,1,1,90.30493334312654,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,2,2,93.90054143496775,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,3,3,95.37131834678874,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,4,4,92.85491019632204,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,5,5,94.23293954949963,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,6,6,96.15340848380075,900.0,0.8895,0.6553,5.000142230888512,0.8954599999999999
安徽_芜湖,0,7,7,95.4160638469221,900.0,0.8895,0.6553,9.6220423650862,0.8954599999999999
安徽_芜湖,0,8,8,95.1759910337015,900.0,0.583,0.6553,13.928967643189425,0.5889599999999999
安徽_芜湖,0,9,9,93.21898797403098,900.0,0.583,0.6553,17.62740822502601,0.5889599999999999
安徽_芜湖,0,10,10,94.0552775698354,900.0,0.583,0.6553,20.46532149690583,0.5889599999999999
安徽_芜湖,0,11,11,92.48626459312986,900.0,0.3271,0.6553,22.249308359223697,0.33306
安徽_芜湖,0,12,12,90.07923683707347,900.0,0.3271,0.6553,22.857793055490344,0.33306
安徽_芜湖,0,13,13,89.79977517774653,900.0,0.3271,0.6553,22.249308359223697,0.33306
安徽_芜湖,0,14,14,87.56101121070246,900.0,0.583,0.6553,20.46532149690583,0.5889599999999999
安徽_芜湖,0,15,15,84.72620835742084,900.0,0.583,0.6553,17.627408225026013,0.5889599999999999
安徽_芜湖,0,16,16,85.24634851819236,900.0,0.8895,0.6553,13.928967643189425,0.8954599999999999
安徽_芜湖,0,17,17,83.0537859212708,900.0,0.8895,0.6553,9.622042365086205,0.8954599999999999
安徽_芜湖,0,18,18,85.05414036156873,900.0,0.8895,0.6553,5.000142230888515,0.8954599999999999
安徽_芜湖,0,19,19,84.14453394908209,900.0,0.8895,0.6553,5.000142230888512,0.8954599999999999
安徽_芜湖,0,20,20,84.58201274103907,900.0,0.8895,0.6553,5.000142230888512,0.8954599999999999
安徽_芜湖,0,21,21,84.94024385959598,900.0,0.8895,0.6553,5.000142230888512,0.8954599999999999
安徽_芜湖,0,22,22,88.46704960640884,900.0,0.583,0.6553,5.000142230888512,0.5889599999999999
安徽_芜湖,0,23,23,88.26165035090231,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,24,0,89.48600661340429,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,25,1,91.13035401002925,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,26,2,93.63877102266403,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,27,3,94.68117356435619,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,28,4,95.69143155662182,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,29,5,96.31254016134386,900.0,0.3271,0.6553,5.000142230888512,0.33306
安徽_芜湖,0,30,6,98.0,900.0,0.8895,0.6553,5.000142230888512,0.8954599999999999
江苏_长三角,1,0,0,92.51230198033846,900.0,0.3418,0.5827,5.400597613007606,0.34776
江苏_长三角,1,1,1,93.62794941223343,900.0,0.3418,0.5827,5.400597613007606,0.34776
江苏_长三角,1,2,2,94.21962514880919,900.0,0.3418,0.5827,5.400597613007606,0.34776
江苏_长三角,1,3,3,96.534730264825,900.0,0.3418,0.5827,5.400597613007606,0.34776
江苏_长三角,1,4,4,97.35476675126506,900.0,0.3418,0.5827,5.400597613007606,0.34776
江苏_长三角,1,5,5,95.65881800854856,900.0,0.3418,0.5827,5.400597613007606,0.34776
江苏_长三角,1,6,6,94.1879646503516,900.0,0.5842,0.5827,5.400597613007606,0.59016
江苏_长三角,1,7,7,93.2532632282898,900.0,0.5842,0.5827,10.392660174370398,0.59016
江苏_长三角,1,8,8,93.78071134538965,900.0,0.5842,0.5827,15.044521921949759,0.59016
江苏_长三角,1,9,9,92.44481927605925,900.0,0.5842,0.5827,19.039166165213178,0.59016
江苏_长三角,1,10,10,90.65178512196623,900.0,0.5842,0.5827,22.104364500443992,0.59016
江苏_长三角,1,11,11,87.64847408063845,900.0,0.3418,0.5827,24.03122872657597,0.34776
江苏_长三角,1,12,12,87.27859358768006,900.0,0.3418,0.5827,24.688446230891916,0.34776
江苏_长三角,1,13,13,85.8973822838496,900.0,0.5842,0.5827,24.03122872657597,0.59016
江苏_长三角,1,14,14,85.06627389336818,900.0,0.8826,0.5827,22.104364500443992,0.88856
江苏_长三角,1,15,15,85.25015957580342,900.0,0.8826,0.5827,19.03916616521318,0.88856
江苏_长三角,1,16,16,84.26831465852963,900.0,0.8826,0.5827,15.044521921949759,0.88856
江苏_长三角,1,17,17,85.01914131795188,900.0,0.8826,0.5827,10.392660174370402,0.88856
江苏_长三角,1,18,18,84.88494246068004,900.0,0.8826,0.5827,5.400597613007609,0.88856
江苏_长三角,1,19,19,86.1043025913087,900.0,0.8826,0.5827,5.400597613007606,0.88856
江苏_长三角,1,20,20,87.75754587100624,900.0,0.8826,0.5827,5.400597613007606,0.88856
江苏_长三角,1,21,21,86.69849874555808,900.0,0.8826,0.5827,5.400597613007606,0.88856
